 type|subtype|name|abbrev|notes|cost|humanity cost|surgery|number of options|source
 EXOTIC BODYSCULPT||Reptile||No ears; long tongue; olfactory; fangs; synthskin|2000|4d6|M + Nx3||Chromebook 2 pg.105
 EXOTIC BODYSCULPT||Rodent||Enlarged ears and eyes; button nose; synthskin|1400|1d6+1d6/2|M + N||Chromebook 2 pg.104
 EXOTIC BODYSCULPT||Sharkman||Gills; sonar; skinweave\\& change; muzzle; etc|17700|12d6|MAx2 + Mx2 + Nx3||Chromebook 2 pg.108
 EXOTIC BODYSCULPT||Slight Buggy||Bug-eyes; antennae; scaly synthskin; cyber optics|3400|6d6|MA + M + N||Chromebook 2 pg.108
 EXOTIC BODYSCULPT||The Superman||The future of humanity via nano and bioware|19735|13d6|CR + MAx3 + M + Nx8||Chromebook 2 pg.107
 EXOTIC BODYSCULPT||Troll/Ogre||Broad features; fangs; taller; grafted muscle; MBL|12000|7d6|CR + MA + M + Nx2||Chromebook 2 pg.106
 EXOTIC BODYSCULPT|OPTION|Armor Weave||Adds +1 BODY;SP 18; -1 REF+MA; need MBL;SKW|4000|1d6|N||Chromebook 2 pg.103
 EXOTIC BODYSCULPT|OPTION|Combat Tail||Heavily muscled. 1d6+ Damage Mod.|2500|3d6|MA||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Digitgrade Legs||3 joint legs. +1 MA with tail. -2 MA without tail|4000|6d6|CR||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Exo Skeleton||SP 18; MA\\& REF -2. 10% chance of cancer|20000|4d6|CR||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Frame Alteration||25% size change from actual body size|8000|2d6|CR||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Fur/Scales/Skinchange||10% chance of cancer|10000|3d6|N||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Heavy Scales||SP 12. 10% chance of cancer|12000|3d6|N||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Major Facial Modification||Major alterations to features|2000|1d6|M||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Mandibles, Extended||Semi-prehensile grasping 'jaws'.1d6* damage|4000|3d6|MA||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Minor Facial Modification||Alterations to eyes; ears; nose; etc|1000|1d6/2|M||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Muzzle,Long||Like a dog's or horse's muzzle|2500|2d6|MA||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Muzzle,Short||Like a bear's or tiger's muzzle|2000|1d6|M||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Natural Claws||-3 to manipulation rolls. 1d6* damage|1000|1d6+1|N||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Natural Fangs||1d6* bite damage|500|2d6|N||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Retractable Claws||1d6* damage|1000|2d6|M||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Short Tail||Bunny tail; etc|250|2|M||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Speed Grafts||+2 MA|750|1d6|MA||Chromebook 2 pg.103
 EXOTIC BODYSCULPT|OPTION|Stinger Tail||Poison injecting stinger. 1d6*+Mod+drug/toxin|3000|3d6|MA||Chromebook 2 pg.102
 EXOTIC BODYSCULPT|OPTION|Tail||Mobile but weak; exerts about 3lbs of force|1500|2d6|MA||Chromebook 2 pg.102
 FASHIONWARE||Biomonitor|BIO|+2 to Resist Torture\\& Drugs|100|1|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Chem Skins|CSK|Color/pattern changing skin tints|200|1d6/2|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Dermatech Logo-Line Tattoo||Logo Tattoos; Cost range 10-200eb;|100|.5|N||Chromebook 4 pg.13
 FASHIONWARE||Dermatech Mood Skin||Changes color based on mood; cost eb/m; hc is per m|200|1d6|N||Chromebook 3 pg.35
 FASHIONWARE||Gene -Tek's See-It Transparent Skin||ATTR -1;-4 for face; cost eb/m; hc is per m|1000|3d6|M||Chromebook 3 pg.35
 FASHIONWARE||Kill Display||3 digit display|100|1|N||Chromebook 2 pg.6
 FASHIONWARE||Lead 's Show-Off Nails||Pattern changing nails; Cost is for a set of 10 else 45eb/nail|425|2|N||Chromebook 3 pg.36
 FASHIONWARE||Lead 's Turn-On Nails||Color change nails; Cost is for set of 10 else 25eb/nail|200|1|N||Chromebook 3 pg.36
 FASHIONWARE||Light Tattoo|LT|Decorative tattoo; Cost range is 1-20eb|10|.5|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Nu -Tek TV Skin||Your skin can become a vidscreen|600|1d6+4|M||Chromebook 4 pg.14
 FASHIONWARE||Raven Advanced Biomonitor||Includes ability broadcast information over 2km|200|(1d6/2)-1|MA||Corp Book 3 pg.72
 FASHIONWARE||Shift -tacts|SHF|Color changing contact lenses; Cost range is 1-200eb|100|.5|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Skinwatch|SWTC|Subdermal timepiece|50|1|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Synthskin Tuning Chips|SYNC|Stores different patterns/colors for Synthskin|100|0|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Synthskins|SYNC|Color/pattern changing artificial skin|400|1d6|N||Cyberpunk 2020 pg.80
 FASHIONWARE||Techhair|TEH|Color/light emitting artificial hair. Cost range 1-200eb|100|0|M||Cyberpunk 2020 pg.80
 FULL CONVERSION||'Sheol' Hazardous Ops||REF 10; MA 10; BOD 18; SP 30; SDP20/30/40|50000|18d6+8|CRx2||Chromebook 3 pg.93
 FULL CONVERSION||'Wiseman' Cyberspace Com||REF 14; MA 10; BOD 12; SP 25; SDP20/30/40|91381|23d6+3|CRx2||Chromebook 3 pg.104
 FULL CONVERSION||Adrek 'Burroughs' Mars Ops||REF 10; MA 10; BOD 12; SP 35; SDP20/30/40|42000|16d6+4|CRx2||Chromebook 3 pg.98
 FULL CONVERSION||Alpha Class||REF 10; MA 10; BOD 12; SP 25; SDP20/30/40|40000|16d6|CRx2||Chromebook 2 pg.66
 FULL CONVERSION||Aquarius (Sub-Marine)||REF 10; MA 10; BOD 15; SP 25; SDP 20/30/40|50000|18d6+2|CRx2||Chromebook 2 pg.68
 FULL CONVERSION||Arasaka 'Daioni' PA Convert||REF 17; MA 20; BOD 52; SP 80; +6Initiative|810000|16d6+30|CRx2||SW pg.40
 FULL CONVERSION||Brimstone (Fire-Fighter)||REF 11; MA 10; BOD 14; SP 30; SDP20/30/40|47000|19d6|CRx2||Chromebook 2 pg.75
 FULL CONVERSION||Copernicus (Space-Use)||REF 11; MA 10; BOD 12; SP 25; SDP20/30/40|60000|19d6|CRx2||Chromebook 2 pg.69
 FULL CONVERSION||Dragoon (Military)||REF 15; MA 25; BOD 20; SP 40; SDP40/50/60|120000|42d6+3|CRx2||Chromebook 2 pg.82
 FULL CONVERSION||Eclipse (Covert Ops)||REF 13; MA 13; BOD 12; SP 25; SDP20/30/40|65000|21d6+3|CRx2||Chromebook 2 pg.71
 FULL CONVERSION||Enforcer (Security)||REF 12; MA 15; BOD 12; SP 30; SDP25/35/45|55000|21d6-2|CRx2||Chromebook 2 pg.73
 FULL CONVERSION||Gemini (Humanoid)||REF 10; MA 10; BOD 12; SP 25; SDP20/30/40|55000|16d6+2|CRx2||Chromebook 2 pg.77
 FULL CONVERSION||MD Tech 'Kildare' Medical||REF 10; MA 10; BOD 12; SP 25; SDP20/30/40|46000|19d6|CRx2||Chromebook 3 pg.95
 FULL CONVERSION||Militech 'Spyder' Recon||REF 12; MA 20; BOD 12; SP 30; SDP20/30/40|118105|39d6|CRx2||Chromebook 3 pg.100
 FULL CONVERSION||Samson (Industrial)||REF 10; MA 10; BOD 18; SP 25; SDP20/30/40|50000|20d6+1|CRx2||Chromebook 2 pg.80
 FULL CONVERSION||Wingman (Pilot)||REF 15; MA 10; BOD 12; SP 25; SDP20/30/40|54000|20d6|CRx2||Chromebook 2 pg.78
 FULL CONVERSION|OPTION|CyberSteriods||BODx3; +3kg/+1 BOD; runs off power unit below; cost per +1|1500|6d6|CRx2||Chromebook 3 pg.107
 FULL CONVERSION|OPTION|Eelskin||1d6 to 2d6+3 Damage|14000|1d6|MA||Chromebook 3 pg.107
 FULL CONVERSION|OPTION|Increased BODY||Max 20; cost eb/+1; HC per +1|1000|2|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Increased MA||Max 25; cost eb/+1; HC per 1|1500|2|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Increased REF||Max 15; cost eb/+1; HC per +1|2000|2|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Increased SDP||Max +20SDP; +55lbs/+5 SDP; cost eb/+5|1500|0|N||Chromebook 2 pg.84
 FULL CONVERSION|OPTION|Increased SP||Max 40SP; 10-50lbs weight increase; cost eb/+5|2000|0|N||Chromebook 2 pg.84
 FULL CONVERSION|OPTION|Interchangeable Biopod||Organs can be moved to different FBRs|0|2|CR||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Longevity Module||Theoretically triples 'borg's lifespan|15000|1|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|QuickChange Mounts||Rifles(2); Hvy.Weapons (3) can be mounted|200|2|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Shielding||Electronic shielding. 500 rads protection|2000|6|N||Chromebook 2 pg.85
 FULL CONVERSION|OPTION|Stylization||Customization; possible bonuses to some skills|0|Varies|N||Chromebook 2 pg.84
 IMPLANT||Adrenal Booster|ADB|Boosts REF by +1 for 1d6+2 turns 3x per day|400|2d6|M||Cyberpunk 2020 pg.84
 IMPLANT||Audio /Video Recorder|AVR|2hrs storage from video; audio links|300|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Autoinjector||Holds 5 doses; +200eb to wire to Biomonitor|750|1d6/2|M||Chromebook 3 pg.25
 IMPLANT||Bodyweight Variable-Chambered Heart||Cyberheart option; x2 hold breath; +1 Endurance|450|1d6/2|N||Chromebook 4 pg.9
 IMPLANT||Bodyweight Vein Clips||+2 on all Death Saves|700|1d6|MA||Chromebook 4 pg.10
 IMPLANT||Booze Master||+1 to resist alcohol|100|1|M||PAC pg.113
 IMPLANT||Cam -O-Skin||-1 Awareness/20m; 8 patterns; takes 1hr|850|1d6/2|N||Chromebook 3 pg.30
 IMPLANT||Chemical Analyzer|CH|5m range. 70% effective|200|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Contraceptive Implant|CI|Good for 5 years. 98% effective|100|.5|N||Cyberpunk 2020 pg.84
 IMPLANT||Cyber -Lung||Required for Vac Weave. Provides 15 minutes of air for us in vacuum|700|1d6+1|MA||Deep Space pg.60
 IMPLANT||Decentralized Heart||+2 to Death Saves for Torso wounds|1300|1d6+4|CR||Chromebook 1 pg.37
 IMPLANT||Digital Recorder|DGR|2hrs storage from any digital source|200|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Doc Richter Seismic Sensor||40m range. Senses vibrations. 75%|220|1d6/2|M||Solo of Fortune pg.22
 IMPLANT||Dynala Endo-Frame (Basic)||BOD +3; +1 HH dam; 10 points/limb; EV +1|12000|2d6+1|CRx2||Chromebook 3 pg.28
 IMPLANT||Dynalar Endo-Frame(Orbital)||BOD +3; +2 all dam; 12 points/limb|25000|2d6+3|CRx2||Chromebook 3 pg.28
 IMPLANT||E -Monitor||Detects changes in pressure and air|185|1|N||Chromebook 1 pg.38
 IMPLANT||Enhanced Lungs Series 2||Can hold breath for 5-30 mins. 200m depth|5000|1d6|CR||Firestorm: Stormfront pg.28
 IMPLANT||Enhanced Lungs Series 3||Entire lungs replaced. Good down to 1000m|7500|1d6+2|CRx2||Firestorm: Stormfront pg.28
 IMPLANT||Eye Color Gland Control||Change eye color in 1d6 mins|250|1|M||Chromebook 2 pg.6
 IMPLANT||Feature Alteration Implant||Facial change takes 3 hours; +4 to Disguise rolls|3500|1d6+1|N||When Gravity Fails pg.60
 IMPLANT||Feel Good Endorphin Trigger||1d10 if hurt; 8-10=+3 Stun/Death; 1=intoxicated|500|1d6|M||SW pg.41
 IMPLANT||Filter Valves||Required for Vac Weave. Cavities fitted with valves for vacuum survival|300|8|M||Deep Space pg.60
 IMPLANT||Flashlight Implant||Patch of synthskin; 3m range|90|1|M||Interface 1 Issue4 pg.2
 IMPLANT||Flashlight Strobe||DIFF 10- 15 to blind for 1d6 hours. ROF 1/2|150|1.5|M||Interface 1 Issue4 pg.2
 IMPLANT||GPS Module||Determine position to 17cm. Needs Time Square or Time Square+|450|1|N||Firestorm: Stormfront pg.28
 IMPLANT||GPS Module w/screen||As above but with subdermal view screen|600|1d6/2|M||Firestorm: Stormfront pg.28
 IMPLANT||Gills (Fresh water)|GL|Waterbreathing system; good for 4 hours|400|3d6|MA||Cyberpunk 2020 pg.84
 IMPLANT||Gyro -Stabilizer||+1 to balancing maneuvers|1000|1d6|N||Chromebook 1 pg.38
 IMPLANT||Independent Air Supply|IA|Good for 10 to 25 minutes|300|2d6|MA||Cyberpunk 2020 pg.84
 IMPLANT||Mediaware Cellular-Phone||Implanted cell phone|500|3|MA||Chromebook 3 pg.24
 IMPLANT||Midnight Lady Implant|MS|Sexual implant. +1 to Seduction checks|300|2d6|MA||Cyberpunk 2020 pg.84
 IMPLANT||Military Sonar||50m range. Forwater only. 95% effective. P Avail|700|2|M||Firestorm: Stormfront pg.27
 IMPLANT||Militech Cyberdoc Emergency Medkit||Counter acts drugs; etc|5000|1d6-1|MA||Corp Book 2 pg.62
 IMPLANT||Motion Detector|MD|20 sq/m area. 70% effectiveness.|200|2d6|M||Cyberpunk 2020 pg.84
 IMPLANT||Mr Studd Sexual Implant|MS|All night; every night. +1 to Seduction checks|300|2d6|MA||Cyberpunk 2020 pg.84
 IMPLANT||Nasal Filters|NF|Stops gases; fumes. 70% effective|60|2|M||Cyberpunk 2020 pg.84
 IMPLANT||OTEC Ear Valve||Pressure equalization system|150|1|MA||Firestorm: Stormfront pg.28
 IMPLANT||OptiShield||Anti-Dazzle; SP8; 2 spaces for optic options|300|1d6+2|M||Chromebook 1 pg.31
 IMPLANT||OptiShield Options||T 2; T 2+; TE; LL;IR;Time/day|100|50% HC|N||Chromebook 2 pg.5
 IMPLANT||Pacesetter Heart||MA and BODY +1 when on|900|1d6|MA||Chromebook 1 pg.37
 IMPLANT||Pacesetter2000 Heart||MA and BODY +2 when on|985|1d6|MA||Chromebook 1 pg.37
 IMPLANT||Poison Gland||Holds 8 doses; produces new dose every hour|1200|3d6|MA||When Gravity Fails pg.59
 IMPLANT||Poison Sac||Holds 4 doses; refilled with special applicator|500|2d6|MA||When Gravity Fails pg.59
 IMPLANT||Radar Sensor|RA|100m range. Needs cyberoptic. 70% effective|200|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Radiation Detector|RAD|10m range. 80% effective|200|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Rebreather /Enhanced Lungs||Can hold breath for 15 mins|700|1d6+1|MA||Chromebook 1 pg.36
 IMPLANT||Retractable Needle||Mounted in finger; connected to poison sac/gland|650|2d6|M||When Gravity Fails pg.59
 IMPLANT||Saltwater Gills||Saltwater breathing system; good for 4 hours|600|3d6|MA||Firestorm: Stormfront pg.27
 IMPLANT||Sonar Implant|SN|50m range. For water only. 70% effective|300|2|M||Cyberpunk 2020 pg.84
 IMPLANT||Subdermal Pocket|PKT|2 in. x 4 in. space with Realskinn zipper. DIFF to spot|200|2d6|M||Cyberpunk 2020 pg.84
 IMPLANT||Subdermal Viewscreen||Similar to Times Square Marquee|250|1d6/2|M||Chromebook 2 pg.8
 IMPLANT||Super High Density RAM||40MU; 1 CPU; download via plus 1MU/second|0|0|CR||Interface 1 Issue2 pg.15
 IMPLANT||T -Maxx 2 Cyberliver||As above but with fluid rerouting system|850|1d6|MA||Chromebook 1 pg.37
 IMPLANT||T -Maxx Cyberliver||+4 vs ingested drugs and poisons|450|1d6|MA||Chromebook 1 pg.37
 IMPLANT||Wearman Mk.2||Usable without cyberaudio|200|0|N||Chromebook 1 pg.38
 IMPLANT||Wet Drive||Holds 1MU of stored data|320|1d6|MA||Chromebook 1 pg.35
 IMPLANT||Wetdrive Access Link||Internal link to wetdrive|200|1d6/2|M||Chromebook 2 pg.6
 IMPLANT||Zetatech Bodycomp||Equal to E-Book|1750|1d6+4|MA||Chromebook 2 pg.8
 IMPLANT|SUBDERMAL ARMOR|Subdermal Armor|SDA|Armors torso to SP18. DIFF Awareness to spot|1200|2d6|CR||Cyberpunk 2020 pg.84
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP10||10 SP; DIFF 20 to spot; 40% unprotected|1000|1d6+2|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP12||12 SP; DIFF 15 to spot; 50% chance of -1 ATTR|1200|1d6+3|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP14||14 SP; DIFF 10 to spot; -1 ATTR; 40% unprotected|1400|2d6|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP4||4SP; DIFF 35 to spot; 40% unprotected|300|1d2|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP6||6SP; DIFF 30 to spot; 40% unprotected|550|1d3|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Skull Armor SP8||8SP; DIFF 25 to spot; 40% unprotected|750|1d6|MA||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP 22||22 SP; DIFF 10 to spot; -2 REF\\& ATTR|1750|3d6|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP10||10 SP; DIFF 30 to spot; no REF/ATTR loss|650|1d6/2+1|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP12||12 SP; DIFF 25 to spot; no REF/ATTR loss|800|1d6|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP14||14 SP; DIFF 25 to spot; no REF/ATTR loss|1000|1d6+2|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP16||16 SP; DIFF 20 to spot; no REF/ATTR loss|1100|1d6+3|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP18||18 SP; DIFF 20 to spot; 50% chance -1 ATTR|1200|2d6|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP20||20 SP; DIFF 15 to spot; -1 REF\\& ATTR|1450|2d6+2|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP6||6 SP; DIFF 35+ to spot; no REF/ATTR loss|350|1d2|CR||Chromebook 2 pg.7
 IMPLANT|SUBDERMAL ARMOR|Subdermal Torso Armor SP8||8SP; DIFF 32 to spot; no REF/ATTR loss|500|1d3|CR||Chromebook 2 pg.7
 LINEAR FRAMES||General Products Exoskeleton (Series-A)||STR 18; SDP 15; SP 6; MA 4; REF 5|12000|4d6|MA||Chromebook 3 pg.34
 LINEAR FRAMES||General Products Exoskeleton (Series-B)||STR 21; SDP 20; SP 8; MA 4; REF 5|15000|6d6|MA||Chromebook 3 pg.34
 LINEAR FRAMES||LInear Beta|BETA|Built into the body; BOD 14; BTM -6|8000|2d6|MA||Cyberpunk 2020 pg.79
 LINEAR FRAMES||Linear Omega|OMEGA|Built into the body; BOD 16; BTM -7|10000|3d6|MA||Cyberpunk 2020 pg.79
 LINEAR FRAMES||Linear Sigma|SIGMA|Built into the body; BOD 12; BTM -5|6000|2d6|MA||Cyberpunk 2020 pg.79
 NEURALWARE||Advanced Cortical Implant||Experimental; Eidetic Memory +2. IP cost/2|150000|3d6|CR||When Gravity Fails pg.60
 NEURALWARE||Behind The Ear Cory Implant||As Corymbic Implant; but hidden behind ear|1000|2d6|MA||When Gravity Fails pg.59
 NEURALWARE||Corymbic Implant||Accepts six daddys; allows equipment interfacing|500|2d6|MA||When Gravity Fails pg.59
 NEURALWARE||Neuralware Processor||Basic processor. Must have for all systems|1000|1d6|M||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Bodyweight Pacemaker Coprocessor|BWPC|Restarts heart when attacked by ICE|150|2|N||Chromebook 3 pg.26
 NEURALWARE|OPTION|Boostmaster|BM|+1 REF with both types of boosterware. No bonus to initiative.|650|1d6/2|N||Solo of Fortune pg.32
 NEURALWARE|OPTION|Braindance Plugs|BDPLG|Allows connection to Braindance Recorder|200|1d6|M||Rockerboy pg.66
 NEURALWARE|OPTION|Cyber-Detection Computer|CDC|Reconnaissance/Detection device; need M/T link|3000|1d6+3|M||Chromebook 4 pg.14
 NEURALWARE|OPTION|Cybermodem Link|PE|Allows direct connection to a cybermodem|100|1|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|DataTerm Link|DLNK|Allows downloading from DataTerms|100|2|N||Cyberpunk 2020 pg.82
 NEURALWARE|OPTION|Echolocation System Coprocessor|ESC|Can see in complete darkness; -1 Awareness|800|1d6/2|N||Chromebook 4 pg.13
 NEURALWARE|OPTION|Interface Plugs|PLG|Allows direct connection to smartguns; etc.|200|1d6|M||Cyberpunk 2020 pg.82
 NEURALWARE|OPTION|Kerenzikov Boosterware I|RFB|+1 to Initiative|500|1d6|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Kerenzikov Boosterware II|RFB2|+2 to Initiative|1000|2d6|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|LiveWires|LWPLG|Prehensile interface cables; 200eb if body implant|400|2d6|M||Chromebook 3 pg.24
 NEURALWARE|OPTION|Lockdown|LKDN|Uses cyberaudio to locate snipers|300|1d6|N||Chromebook 4 pg.15
 NEURALWARE|OPTION|Machine/Tech Link|MLNK|Allows control of autofactories\\& machines|100|2|N||Cyberpunk 2020 pg.82
 NEURALWARE|OPTION|Mag-Duct Spots|MDLPG|As interface plugs; but only a +1 bonus|220|1d6/2|N||Chromebook 1 pg.38
 NEURALWARE|OPTION|Moddy Link|MODL|Enables cory implant to accept moddy chips|100|0|N||When Gravity Fails pg.59
 NEURALWARE|OPTION|Model 100 Interface Plugs|M100PLG|+2 vs Black Ice; -2 for anything else|100|2d6|MA||Chromebook 3 pg.33
 NEURALWARE|OPTION|Neural ULF Transceiver|NULF|Send and receive voice/data. Range 15km/unlim|200|1d6/2|N||Firestorm: Stormfront pg.28
 NEURALWARE|OPTION|Olfactory Boost|OLF|+2 Awareness/track via smell. Locate scent 50%|100|2|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Pain Editor|TE|Allows Endurance checks at 2 DIFF level slower|200|2d6|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Sandevistan Speedware|SW|Adds +3 to Initiative for 5 turns|1600|1d6/2|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Smartgun Link|WLNK|+2 to Smartgun attacks|100|2|N||Cyberpunk 2020 pg.82
 NEURALWARE|OPTION|Subdermal Smartgun Link|SSLNK|Weapon only version of Mag-Duct Spots (+1)|220|1d6/2|M||Rough Guide to the UK pg.32
 NEURALWARE|OPTION|Super Compact Braindance|ACBD|Braindance recorder that fits on back of head|15000|2d6|CR||Chromebook 3 pg.23
 NEURALWARE|OPTION|Tactile Boost|TB|Increased sensitivity. +2 to touch Awareness|100|2|N||Cyberpunk 2020 pg.81
 NEURALWARE|OPTION|Taste Boost|TAB|Heightened sense of taste|100|2|M||Chromebook 4 pg.15
 NEURALWARE|OPTION|Ubermensch Pain Editor|UTE|As Pain Editor; but only works 75% of the time|200|2d6|N||Eurotour pg.31
 NEURALWARE|OPTION|Ubermensch Speedware|URFB|Adds +2 to Initiative for 5 turns|1600|1d6/2|N||Eurotour pg.29
 NEURALWARE|OPTION|Universal Link|ULNK|Combined linkage|400|4|N||Interface 1 Issue3 pg.30
 NEURALWARE|OPTION|Vehicle Link|VLNK|+2 to direct cybercontrolled vehicle operation|100|3|N||Cyberpunk 2020 pg.82
 CHIPWARE|OPTION|Wardrobe & Style +1||MRAM Skill Chip|100|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Wardrobe & Style +2||MRAM Skill Chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Wardrobe & Style +3||MRAM Skill Chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Swimming +1||APTR Skill Chip|100|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Swimming +2||APTR Skill Chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Swimming +3||APTR Skill Chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Accounting +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Accounting +2||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Accounting +3||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Anthropology +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Anthropology +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Anthropology +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Biology +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Biology +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Biology +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Botany +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Botany +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Botany +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Chemistry +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Chemistry +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Chemistry +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Education & Cen.Know. +1||MRAM Skill chip|200|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Education & Cen.Know. +2||MRAM Skill chip|400|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Education & Cen.Know. +3||MRAM Skill chip|600|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Geology +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Geology +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|Geology +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|History +1||MRAM Skill chip|150|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|History +2||MRAM Skill chip|300|0|N|0|Cyberpunk 2020 pg.83
 CHIPWARE|OPTION|History +3||MRAM Skill chip|450|0|N|0|Cyberpunk 2020 pg.83
