  name|type|category|subcategory|wa|conc|avail|damage|ammo|shots|rof|rel|range|cost|source
  Magnum Opus 12-Gauge Pistol|P|SHOTGUNS|Borg Weapon|-2|J"|P|4d6|12GA|9|2|ST|30|1000|BH pg.37
  United Armaments CLAW|SHT|SHOTGUNS|Borg Weapon|1|N"|R|8d6|4GA|28|14|VR|60|1600|BH pg.38
  5.56 caseless SMG|SMG|SMG|Borg Weapon|1|L"|P|5d6|5.56mm|50|25|VR|200|1200|BH pg.38
  Malorian Arms 3600 Super-SMG|SMG|SMG|Borg Weapon|0|L"|P|6d6|14mm|20|1|VR|150|3000|BH pg.38
  Bushmaster|SMG|SMG|HEAVY|0|L"|C|4D6|5.56mm|30|20|ST|150|0|CP20 pg.66
  CCMMC Tuzi-7|SMG|SMG|HEAVY|-2|J"|P|3d6|11mm|30|15|ST|100|125|BH pg.20
  Chadran City Reaper|SMG|SMG|HEAVY|0|L"|P|3d6|11mm|40|20|VR|200|950|BH pg.20
  Chadran City Reaper undermount|SHT|SMG|HEAVY|-1|N"||4d6|12ga|10|3|ST|50|0| pg.0
  Heckler Koch MPK-11|SMG|SMG|HEAVY|0|L"|C|4d6+1|12mm|30|20|ST|200|700|BH pg.20
  Heckler Koch MPK-2020|SMG|SMG|HEAVY|2|L"|P|4d6+1|12mm|60|30|ST|200|750|BH pg.20
  Ingram Mac 14|SMG|SMG|HEAVY|-2|L"|E|4d6+1|12mm|40|10|ST|200|650|BH pg.20
  Sternmeyer SMG 21|SMG|SMG|HEAVY|-1|L"|E|3d6|11mm|30|15|VR|200|500|BH pg.20
  Thompson M1|SMG|SMG|HEAVY|2|N"|C|2d6+2|.45|30|20|ST|200|300|CP20 pg.66
  Federated Arms Tech Assault|SMG|SMG|LIGHT|1|J"|E|1d6|.22[5mm]|30|30|UR*|100|160|BH pg.17
  Federated Arms Tech Assault II|SMG|SMG|LIGHT|1|J"|C|1d6+1|6mm|50|25|ST|150|400|BH pg.17
  Heckler & Koch MPK-9|SMG|SMG|LIGHT|1|J"|C|2d6+1|9mm|35|25|ST|150|520|BH pg.17
  Militech Mini-Gat Machine Carbine|SMG|SMG|LIGHT|0|L"|P|1d6|.22[5mm]|120|40|ST|150|695|BH pg.18
  Setsuko-Arasaka PMS SMG|SMG|SMG|LIGHT|1|L"|P|1d6+2|.38[7mm]|40|20|ST|150|950|BH pg.17
  Surnam Machine Pistol|SMG|SMG|LIGHT|0|J"|C|1d6+4|.177|25|50|UR|150|375|BH pg.18
  Uzi|SMG|SMG|LIGHT|2|J"|C|2d6+1|9mm|30|20|VR|200|250|CP20 pg.66
  Uzi Miniauto 9|SMG|SMG|LIGHT|1|J"|E|2d6+1|9mm|30|35|VR|150|475|BH pg.18
  Vz61 Skorpion|SMG|SMG|LIGHT|2|J"|P|1d6|.25|20|25|VR|150|150|CP20 pg.66
  Arasaka WMA 'Minami 10'|SMG|SMG|MEDIUM|0|J"|E|2d6+3|10mm|40|20|VR|200|500|BH pg.18
  Beretta 1010 Machine Pistol|SMG|SMG|MEDIUM|-2|J"|C|2d6+3|10mm|30|15|ST|100|475|BH pg.18
  Beretta M-24 Advanced SMG|SMG|SMG|MEDIUM|2|L"|P|2d6+1|9mm|50|25|VR|200|950|BH pg.18
  Calico Submachinegun|SMG|SMG|MEDIUM|0|L"|C|2d6+1|9mm cased|50|20|ST|200|750|NEO pg.65
  Heckler & Koch MP-2013|SMG|SMG|MEDIUM|1|J"|C|2d6+3|10mm|35|32|ST|200|450|BH pg.19
  Heckler & Koch MP5|SMG|SMG|MEDIUM|1|L"|C|2D6+1|9mm|30|20|ST|150|0|BH pg.66
  IMI 'Gamdaii'|SMG|SMG|MEDIUM|2|N"|E|2d6+3|10mm|35|25|VR|200|950|BH pg.19
  IMI 'Gamdaii' under mount|HVY|SMG|MEDIUM|0|N"|||25mm grenade|1|1|ST|100|0| pg.0
  Ingram MAC 10|SMG|SMG|MEDIUM|-1|J"|C|2d6+2|.45C|30|5|UR|200|225|CP20 pg.66
  L2A3 Sterling|SMG|SMG|MEDIUM|0|L"|C|2d6+1|9mm cased|10|20|VR|200|200|UK pg.37
  Malorian Sub-Flechette Gun|SMG|SMG|MEDIUM|2|J"|C|1d6|4mm Flechette|10|35|VR|200|795|BH pg.19
  Medusa 2000 (Caseless)|SMG|SMG|MEDIUM|0|N"|P|2d6+3|10mm|40|20|VR|200|2500|I2.1 pg.3
  Militech 10 Submachine Gun (10mm)|SMG|SMG|MEDIUM|1|J"|E|2d6+3|10mm|30|20|ST|200|455|BH pg.19
  Militech 10 Submachine Gun - .45|SMG|SMG|MEDIUM|1|J"|E|2d6+2|.45|30|20|ST|200|455|BH pg.19
  Militech Viper SMG|SMG|SMG|MEDIUM|0|J"|P|2d6+3|10mm|40|30|VR|200|600|BH pg.19
  Mustang Arms ARS-5C SMG|SMG|SMG|MEDIUM|1|J"|C|2d6+3|10mm|40|40|VR|100|600|BH pg.19
  Sten .22|SMG|SMG|MEDIUM|-2|L"|E|1d6|.22 Long|30|30|ST|100|200|BH pg.19
  Sten .357|SMG|SMG|MEDIUM|-2|L"|E|2d6+3|.357|30|30|ST|100|200|BH pg.19
  Sten 12mm|SMG|SMG|MEDIUM|-2|L"|E|4d6+1|12mm|30|30|ST|100|200|BH pg.19
  Sten 9mm|SMG|SMG|MEDIUM|-2|L"|E|2d6+1|9mm|30|30|ST|100|200|BH pg.19
  Stolbovoy StS SMG|SMG|SMG|MEDIUM|-1|J"|C|2d6+3|10mm|35|30|VR|100|600|BH pg.20
